,match_col
869,Marshall County
870,Mills County
871,Mitchell County
872,Monona County
873,Monroe County
874,Montgomery County
875,Muscatine County
876,O'Brien County
877,Osceola County
878,Page County
879,Palo Alto County
880,Plymouth County
881,Pocahontas County
882,Polk County
883,Pottawattamie County
884,Poweshiek County
885,Ringgold County
886,Sac County
887,Scott County
888,Shelby County
889,Sioux County
890,Story County
891,Tama County
892,Taylor County
893,Union County
894,Van Buren County
895,Wapello County
896,Warren County
897,Washington County
898,Wayne County
899,Webster County
900,Winnebago County
901,Winneshiek County
902,Woodbury County
903,Worth County
904,Wright County
905,Kansas
906,Allen County
907,Anderson County
908,Atchison County
909,Barber County
910,Barton County
911,Bourbon County
912,Brown County
913,Butler County
914,Chase County
915,Chautauqua County
916,Cherokee County
917,Cheyenne County
918,Clark County
919,Clay County
920,Cloud County
921,Coffey County
922,Comanche County
923,Cowley County
924,Crawford County
925,Decatur County
926,Dickinson County
927,Doniphan County
928,Douglas County
929,Edwards County
930,Elk County
931,Ellis County
932,Ellsworth County
933,Finney County
934,Ford County
935,Franklin County
936,Geary County
937,Gove County
938,Graham County
939,Grant County
940,Gray County
941,Greeley County
942,Greenwood County
943,Hamilton County
944,Harper County
945,Harvey County
946,Haskell County
947,Hodgeman County
948,Jackson County
949,Jefferson County
950,Jewell County
951,Johnson County
952,Kearny County
953,Kingman County
954,Kiowa County
955,Labette County
956,Lane County
957,Leavenworth County
958,Lincoln County
959,Linn County
960,Logan County
961,Lyon County
962,McPherson County
963,Marion County
964,Marshall County
965,Meade County
966,Miami County
967,Mitchell County
968,Montgomery County
969,Morris County
970,Morton County
971,Nemaha County
972,Neosho County
973,Ness County
974,Norton County
975,Osage County
976,Osborne County
977,Ottawa County
978,Pawnee County
979,Phillips County
980,Pottawatomie County
981,Pratt County
982,Rawlins County
983,Reno County
984,Republic County
985,Rice County
986,Riley County
987,Rooks County
988,Rush County
989,Russell County
990,Saline County
991,Scott County
992,Sedgwick County
993,Seward County
994,Shawnee County
995,Sheridan County
996,Sherman County
997,Smith County
998,Stafford County
999,Stanton County
1000,Stevens County
1001,Sumner County
1002,Thomas County
1003,Trego County
1004,Wabaunsee County
1005,Wallace County
1006,Washington County
1007,Wichita County
1008,Wilson County
1009,Woodson County
1010,Wyandotte County
1011,Kentucky
1012,Adair County
1013,Allen County
1014,Anderson County
1015,Ballard County
1016,Barren County
1017,Bath County
1018,Bell County
1019,Boone County
1020,Bourbon County
1021,Boyd County
1022,Boyle County
1023,Bracken County
1024,Breathitt County
1025,Breckinridge County
1026,Bullitt County
1027,Butler County
1028,Caldwell County
1029,Calloway County
1030,Campbell County
1031,Carlisle County
1032,Carroll County
1033,Carter County
1034,Casey County
1035,Christian County
1036,Clark County
1037,Clay County
1038,Clinton County
1039,Crittenden County
1040,Cumberland County
1041,Daviess County
1042,Edmonson County
1043,Elliott County
1044,Estill County
1045,Fayette County
1046,Fleming County
1047,Floyd County
1048,Franklin County
1049,Fulton County
1050,Gallatin County
1051,Garrard County
1052,Grant County
1053,Graves County
1054,Grayson County
1055,Green County
1056,Greenup County
1057,Hancock County
1058,Hardin County
1059,Harlan County
1060,Harrison County
1061,Hart County
1062,Henderson County
1063,Henry County
1064,Hickman County
1065,Hopkins County
1066,Jackson County
1067,Jefferson County
1068,Jessamine County
1069,Johnson County
1070,Kenton County
1071,Knott County
1072,Knox County
1073,Larue County
1074,Laurel County
1075,Lawrence County
1076,Lee County
1077,Leslie County
1078,Letcher County
1079,Lewis County
1080,Lincoln County
1081,Livingston County
1082,Logan County
1083,Lyon County
1084,McCracken County
1085,McCreary County
1086,McLean County
1087,Madison County
1088,Magoffin County
1089,Marion County
1090,Marshall County
1091,Martin County
1092,Mason County
1093,Meade County
1094,Menifee County
1095,Mercer County
1096,Metcalfe County
1097,Monroe County
1098,Montgomery County
1099,Morgan County
1100,Muhlenberg County
1101,Nelson County
1102,Nicholas County
1103,Ohio County
1104,Oldham County
1105,Owen County
1106,Owsley County
1107,Pendleton County
1108,Perry County
1109,Pike County
1110,Powell County
1111,Pulaski County
1112,Robertson County
1113,Rockcastle County
1114,Rowan County
1115,Russell County
1116,Scott County
1117,Shelby County
1118,Simpson County
1119,Spencer County
1120,Taylor County
1121,Todd County
1122,Trigg County
1123,Trimble County
1124,Union County
1125,Warren County
1126,Washington County
1127,Wayne County
1128,Webster County
1129,Whitley County
1130,Wolfe County
1131,Woodford County
1132,Louisiana
1133,Acadia Parish
1134,Allen Parish
1135,Ascension Parish
1136,Assumption Parish
1137,Avoyelles Parish
1138,Beauregard Parish
1139,Bienville Parish
1140,Bossier Parish
1141,Caddo Parish
1142,Calcasieu Parish
1143,Caldwell Parish
1144,Cameron Parish
1145,Catahoula Parish
1146,Claiborne Parish
1147,Concordia Parish
1148,De Soto Parish
1149,East Baton Rouge Parish
1150,East Carroll Parish
1151,East Feliciana Parish
1152,Evangeline Parish
1153,Franklin Parish
1154,Grant Parish
1155,Iberia Parish
1156,Iberville Parish
1157,Jackson Parish
1158,Jefferson Parish
1159,Jefferson Davis Parish
1160,Lafayette Parish
1161,Lafourche Parish
1162,LaSalle Parish
1163,Lincoln Parish
1164,Livingston Parish
1165,Madison Parish
1166,Morehouse Parish
1167,Natchitoches Parish
1168,Orleans Parish
1169,Ouachita Parish
1170,Plaquemines Parish
1171,Pointe Coupee Parish
1172,Rapides Parish
1173,Red River Parish
1174,Richland Parish
1175,Sabine Parish
1176,St. Bernard Parish
1177,St. Charles Parish
1178,St. Helena Parish
1179,St. James Parish
1180,St. John the Baptist Parish
1181,St. Landry Parish
1182,St. Martin Parish
1183,St. Mary Parish
1184,St. Tammany Parish
1185,Tangipahoa Parish
1186,Tensas Parish
1187,Terrebonne Parish
1188,Union Parish
1189,Vermilion Parish
1190,Vernon Parish
1191,Washington Parish
1192,Webster Parish
1193,West Baton Rouge Parish
1194,West Carroll Parish
1195,West Feliciana Parish
1196,Winn Parish
1197,Maine
1198,Androscoggin County
1199,Aroostook County
1200,Cumberland County
1201,Franklin County
1202,Hancock County
1203,Kennebec County
1204,Knox County
1205,Lincoln County
1206,Oxford County
1207,Penobscot County
1208,Piscataquis County
1209,Sagadahoc County
1210,Somerset County
1211,Waldo County
1212,Washington County
1213,York County
1214,Maryland
1215,Allegany County
1216,Anne Arundel County
1217,Baltimore County
1218,Calvert County
1219,Caroline County
1220,Carroll County
1221,Cecil County
1222,Charles County
1223,Dorchester County
