,Lat,Long_,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,democrat_percent,republican_percent,confirmed_cases
1396,47.7413337,-103.395905,413386.0,12653.0,392.0,140.0,1458.0,15024.0,2.3,814.0,4482.0,15.02122162760657,82.70898689795165,1202.0
1397,47.60766714,-101.3182418,413386.0,8463.0,64.0,32.0,243.0,9450.0,4.2,1230.0,4198.0,22.21820809248555,75.83092485549133,1240.0
1398,47.31213126,-101.8318399,413386.0,7709.0,78.0,18.0,247.0,8187.0,8.1,704.0,3856.0,15.058823529411764,82.4812834224599,1095.0
1399,46.71681782,-101.2822377,413386.0,28907.0,440.0,130.0,1292.0,31364.0,14.3,3872.0,12243.0,23.29863409350743,73.66869246043684,5019.0
1400,48.20197971,-102.3555315,413386.0,6802.0,230.0,32.0,943.0,10545.0,4.2,1256.0,2824.0,30.15606242496999,67.8031212484994,1287.0
1401,47.9226426,-98.19038437,413386.0,2735.0,36.0,8.0,133.0,2879.0,3.2,586.0,1141.0,32.97692740574001,64.20934158694429,464.0
1402,47.11530482,-101.3406158,413386.0,1864.0,8.0,2.0,40.0,1959.0,2.6,129.0,918.0,12.101313320825517,86.11632270168855,154.0
1403,48.76623521,-97.5523809,413386.0,6377.0,58.0,20.0,232.0,6801.0,6.6,786.0,2460.0,23.59651756229361,73.85169618733113,789.0
1404,48.24977025,-99.96407787,413386.0,3664.0,38.0,4.0,80.0,3975.0,4.3,497.0,1585.0,23.355263157894736,74.48308270676691,531.0
1405,48.26886249,-98.72223879,413386.0,9639.0,236.0,192.0,370.0,11519.0,9.6,1639.0,3577.0,30.51005212211467,66.58600148920327,1663.0
1406,46.45621782,-97.65742504,413386.0,4983.0,64.0,22.0,131.0,5218.0,6.3,945.0,1418.0,38.50855745721272,57.783211083944586,634.0
1407,48.71982533,-101.6603912,413386.0,2247.0,12.0,4.0,64.0,2327.0,2.8,220.0,1065.0,16.67930250189538,80.74298711144806,314.0
1408,46.26440649,-96.94852979,413386.0,15069.0,238.0,96.0,577.0,16177.0,11.4,2510.0,5072.0,32.13005632360471,64.92575524833589,1906.0
1409,48.77245354,-99.84097493,413386.0,2607.0,86.0,28.0,293.0,14176.0,15.4,2482.0,1257.0,65.24710830704522,33.04416403785489,2132.0
1410,46.10830372,-97.63217159,413386.0,3645.0,118.0,44.0,131.0,3898.0,4.5,738.0,1266.0,35.65217391304348,61.15942028985507,436.0
1411,47.57700669,-100.3426391,413386.0,1262.0,4.0,0.0,18.0,1315.0,1.4,104.0,688.0,12.807881773399016,84.72906403940887,112.0
1412,46.11323337,-101.0440149,413386.0,575.0,28.0,8.0,216.0,4230.0,3.8,804.0,258.0,67.79089376053963,21.75379426644182,642.0
1413,46.44737738,-103.4601547,413386.0,715.0,10.0,0.0,31.0,750.0,0.6,44.0,380.0,10.304449648711945,88.99297423887587,32.0
1414,46.80851182,-102.6576326,413386.0,28871.0,1152.0,384.0,1791.0,31489.0,18.1,2499.0,12110.0,16.6046511627907,80.46511627906978,4549.0
1415,47.45611548,-97.72728747,413386.0,1830.0,12.0,4.0,42.0,1890.0,2.8,392.0,652.0,36.02941176470589,59.92647058823529,175.0
1416,46.97962541,-98.95637318,413386.0,19408.0,494.0,224.0,541.0,20704.0,9.5,2676.0,6994.0,26.870167687518823,70.22793453157948,3334.0
1417,48.68565745,-99.24564265,413386.0,2033.0,12.0,4.0,59.0,2189.0,2.2,317.0,830.0,27.00170357751277,70.6984667802385,303.0
1418,47.45367788,-97.16323288,413386.0,7620.0,110.0,20.0,298.0,8036.0,9.4,1493.0,2522.0,36.09767891682785,60.976789168278536,1011.0
1419,48.36876964,-97.72574783,413386.0,10035.0,74.0,88.0,1272.0,10641.0,8.7,1333.0,3324.0,27.869537946895257,69.49613213464353,1800.0
1420,48.22390169,-101.5436763,413386.0,59085.0,3908.0,1254.0,4299.0,67641.0,30.6,7293.0,19974.0,25.81958507399278,70.71443744246973,9374.0
1421,47.58614526,-99.65904998,413386.0,3730.0,18.0,10.0,45.0,3834.0,3.3,442.0,1893.0,18.618365627632688,79.73883740522325,439.0
1422,48.34522353,-103.4793387,413386.0,32264.0,2430.0,304.0,3384.0,37589.0,10.8,2169.0,11739.0,15.131854332356632,81.89619087484303,4616.0
1423,38.84541072,-83.4718964,5335004.0,26885.0,164.0,38.0,288.0,27698.0,48.9,2156.0,9870.0,17.752161383285305,81.26801152737752,2249.0
1424,40.77285242,-84.10802343,5335004.0,85200.0,13412.0,732.0,3420.0,102351.0,264.2,14149.0,33116.0,29.47339915843853,68.98304378619339,11071.0
1425,40.84772277,-82.27280781,5335004.0,51737.0,546.0,278.0,806.0,53484.0,125.6,6541.0,19407.0,24.77182351827305,73.49744366597236,4031.0
1426,41.70860332,-80.74830218,5335004.0,90478.0,5016.0,382.0,4318.0,97241.0,144.6,16497.0,26890.0,37.36833759938388,60.91014111944186,6238.0
1427,39.33425634,-82.04278644,5335004.0,59600.0,1846.0,2036.0,1265.0,65327.0,128.6,14772.0,10862.0,56.68674929966614,41.68233623700065,4840.0
1428,40.55998859,-84.2242143,5335004.0,44373.0,388.0,318.0,811.0,45656.0,114.5,4651.0,20798.0,18.04321682119719,80.68433099274547,4657.0
1429,40.01625942,-80.9924051,5335004.0,62567.0,4570.0,294.0,758.0,67006.0,132.3,9138.0,23560.0,27.617263056092845,71.20406189555126,5401.0
1430,38.93416837,-83.86788395,5335004.0,42191.0,490.0,108.0,538.0,43432.0,91.5,4380.0,16480.0,20.762229806598405,78.11907470610542,3815.0
1431,39.44012838,-84.57388716,5335004.0,321811.0,34594.0,14246.0,19113.0,383134.0,788.2,69613.0,114392.0,37.27863251524872,61.2583473012847,37044.0
1432,40.5789686,-81.09178213,5335004.0,26173.0,240.0,94.0,343.0,26914.0,73.1,3251.0,10745.0,22.87503518153673,75.60512243174782,1864.0
1433,40.13923427,-83.76875242,5335004.0,36792.0,942.0,164.0,659.0,38885.0,93.5,5062.0,14589.0,25.345483677148007,73.0472661726417,3097.0
1434,39.91592258,-83.78498252,5335004.0,116475.0,11858.0,810.0,4851.0,134083.0,348.0,24076.0,39032.0,37.49454930542578,60.78614589173363,13171.0
1435,39.04847534,-84.15375786,5335004.0,196109.0,3820.0,2814.0,4273.0,206428.0,436.5,34092.0,74570.0,30.858073859522083,67.49637943519188,19127.0
1436,39.41485808,-83.80852286,5335004.0,39725.0,1026.0,196.0,713.0,41968.0,102.9,4697.0,15488.0,22.88205777756126,75.45184391289521,3529.0
1437,40.76932373,-80.78094576,5335004.0,97026.0,3950.0,338.0,1937.0,101883.0,202.7,13359.0,35726.0,26.793020457280388,71.65262735659847,8370.0
1438,40.30096166,-81.91729018,5335004.0,35329.0,444.0,92.0,429.0,36600.0,65.4,4125.0,12325.0,24.643049166616883,73.63044387358862,2542.0
1439,40.85065156,-82.91989099,5335004.0,40083.0,570.0,270.0,745.0,41494.0,109.0,4916.0,15436.0,23.764865126172293,74.62051629121144,3764.0
1440,41.424119,-81.65918339,5335004.0,784480.0,343350.0,40074.0,77343.0,1235072.0,2800.0,416176.0,202699.0,66.51685393258427,32.397110297760804,102290.0
1441,40.13412966,-84.6194517,5335004.0,49707.0,414.0,226.0,863.0,51113.0,88.5,4731.0,22004.0,17.435689540797522,81.09383061841233,5161.0
1442,41.32398837,-84.49076944,5335004.0,36291.0,898.0,176.0,3947.0,38087.0,94.9,5981.0,13038.0,30.860120736804085,67.27207058459315,3887.0
1443,40.27942393,-83.00457058,5335004.0,180307.0,8648.0,16022.0,5860.0,209177.0,393.2,57735.0,66356.0,45.79598635678591,52.63425081304037,17451.0
1444,41.36796058,-82.62904521,5335004.0,64363.0,6546.0,502.0,3368.0,74266.0,306.4,17493.0,22160.0,43.36928226106359,54.93987851741664,7273.0
1445,39.75107189,-82.63088163,5335004.0,136700.0,14220.0,2818.0,3741.0,157574.0,289.8,31224.0,50797.0,37.47884433028052,60.97274069450612,15214.0
1446,39.56021306,-83.4562016,5335004.0,26842.0,792.0,288.0,650.0,28525.0,71.4,2975.0,9473.0,23.588645734221377,75.11100539169045,2753.0
1447,39.96995815,-83.01115755,5335004.0,879553.0,298612.0,74048.0,76123.0,1316756.0,2186.1,409144.0,211237.0,64.8840664978266,33.499001707959536,118171.0
1448,41.60213491,-84.12571393,5335004.0,40802.0,412.0,166.0,3720.0,42126.0,105.3,6664.0,15731.0,29.266578831796224,69.08651734738692,3961.0
1449,38.82708533,-82.31647569,5335004.0,28181.0,808.0,204.0,429.0,29898.0,66.3,2990.0,10645.0,21.668236828755703,77.14327125153997,2301.0
1450,41.49952319,-81.17935342,5335004.0,90748.0,1142.0,530.0,1537.0,93649.0,233.4,21201.0,34143.0,37.8447367951304,60.94678781171346,6350.0
1451,39.69116283,-83.89032084,5335004.0,145464.0,11958.0,4828.0,5003.0,168937.0,390.5,34798.0,52072.0,39.25634285843213,58.74349920467493,14184.0
1452,40.05026529,-81.49248905,5335004.0,37139.0,756.0,170.0,447.0,38875.0,76.8,4577.0,13407.0,25.10696653867252,73.54360943499726,3004.0
1453,39.19673558,-84.54502924,5335004.0,552683.0,200418.0,23646.0,29074.0,817473.0,1976.7,246266.0,177886.0,57.14769718445498,41.279653956916334,76528.0
1454,41.00250487,-83.66838948,5335004.0,70986.0,1820.0,1582.0,4358.0,75783.0,140.7,11757.0,26310.0,30.324211395114904,67.85999845245158,6387.0
1455,40.66015414,-83.65929931,5335004.0,30189.0,368.0,176.0,609.0,31365.0,68.1,3062.0,9949.0,23.114667471880427,75.1037970861327,2582.0
1456,40.29380509,-81.09068544,5335004.0,14404.0,352.0,44.0,181.0,15040.0,39.4,1768.0,5792.0,23.09601567602874,75.6629653821032,1038.0
